name,cuisines,rate,approx_cost(for two people),votes
Green Chilly,"North Indian, Chinese",3.6,350.0,30
New Udupi Grand,"South Indian, North Indian, Chinese, Street Food",3.3,250.0,8
Bangarpet Chats Corner,Street Food,3.3,150.0,7
New Sagar Fast Food,"South Indian, North Indian",3.6,450.0,68
Cold Station,"Fast Food, Desserts",3.8,250.0,18
Hotel Savaji's,South Indian,3.5,300.0,36
Maddy's Katti Cafe,"Fast Food, Beverages",3.2,400.0,71
Nimma Dharwad Mane,South Indian,0.0,300.0,0
New Karnataka Hindu Military Hotel,South Indian,0.0,300.0,0
New Bombay Vada Pav,Fast Food,3.4,150.0,61
Savipriya Military Hotel,South Indian,0.0,350.0,0
Gowdru Mane Baduta,"Chinese, South Indian",0.0,300.0,0
Biryani Treat,Biryani,0.0,400.0,0
Five Star Chicken,Fast Food,0.0,200.0,0
Savi Sagar,"South Indian, Chinese, North Indian",3.2,450.0,27
New Prashanth Hotel,"South Indian, Biryani",3.3,400.0,4
Trofi N Treats,"Rolls, Fast Food",2.8,250.0,9
Ambika Biryani Corner,Biryani,3.5,300.0,37
Indira Canteen,South Indian,3.3,300.0,5
Lassi & Cream,Fast Food,3.2,200.0,4
Thindi Mane,South Indian,0.0,100.0,0
Shri Guru Ragavendhra Tiffen & Coffee Bar,South Indian,0.0,150.0,0
Sowmya Ambur Hot Dum Biryani,"Biryani, Kebab",0.0,300.0,0
Rashmi Kabab Corner,Kebab,0.0,200.0,0
S.S Naati Style Hotel,"Biryani, South Indian",0.0,300.0,0
Royal Biriyani Spot,"Biryani, South Indian",0.0,200.0,0
Ambur Hot Dum Biriyani,Biryani,0.0,250.0,0
New Bangarpet Snacks,Street Food,0.0,100.0,0
Hotal Kalabhairaveshwar,"South Indian, Biryani",0.0,300.0,0
Hotel Rasai,"South Indian, Chinese",0.0,150.0,0
Manjunatha Condiments,"Fast Food, South Indian",0.0,200.0,0
Karnataka Biryani Point,"Biryani, Kebab",0.0,250.0,0
Race Course Restaurant,"Chinese, North Indian, South Indian",3.2,450.0,9
Dhanya Nati Style Restaurant,South Indian,3.1,300.0,37
Soundarya Military Hotel,South Indian,3.8,200.0,27
Ganga Sagar,Street Food,3.1,150.0,12
Gowdru Mane Bhaduta,"North Indian, South Indian",3.2,400.0,4
Singri Home Made Foods,South Indian,0.0,150.0,0
Udupa Fast Food,South Indian,3.3,400.0,4
Mallnad Hotel,"North Indian, Chinese",3.2,300.0,4
Vishwa Brahmin's Cafe,South Indian,3.7,100.0,35
1992 Chats - Space,Street Food,3.7,200.0,33
Hot Coffee,"South Indian, Chinese, Beverages",3.3,150.0,4
Bhairava Deluxe Hindu Military Hotel,South Indian,3.4,400.0,4
Samrudhi Darshini,South Indian,0.0,250.0,0
Indian Chicken Biryani Point,Biryani,3.3,300.0,5
Davanagere Bene Dosa Hotel,South Indian,3.3,100.0,4
Sannidhi Grand,"South Indian, North Indian, Chinese",3.2,150.0,4
Sindhu Hotel,South Indian,0.0,250.0,0
Star Biryani & Kebab Centre,"Biryani, Kebab",3.4,150.0,10
Metro Grand Upahara,South Indian,0.0,250.0,0
Next Corner,North Indian,0.0,150.0,0
Best Biryani,"North Indian, Biryani, Desserts",0.0,300.0,0
Hotel Udupi Sagar,"South Indian, North Indian, Chinese, Street Food",0.0,200.0,0
Banashankari Biriyani,"Biryani, South Indian",0.0,300.0,0
RK Hotel,"South Indian, Biryani",0.0,300.0,0
Mahalakshmi Refreshments,South Indian,3.7,200.0,22
Donne Biriyani Angadi Mane,"South Indian, Biryani",3.8,250.0,268
Pizza Hut,"Pizza, Fast Food",3.5,750.0,108
Shree Guru Sagar Fast Food,"North Indian, South Indian, Chinese",3.6,300.0,28
Kudla Beach,"North Indian, South Indian, Seafood, Chinese",3.5,400.0,141
Kushi Meals,Fast Food,2.8,200.0,5
Savi Sagar,"North Indian, South Indian, Chinese",4.1,350.0,344
Chickz N Cheez,"North Indian, Fast Food",3.4,300.0,22
Prakriti Delux,"North Indian, South Indian, Chinese",3.9,300.0,53
Absolute Chinese,"Chinese, Fast Food, Momos",3.8,450.0,209
Hotel Halli Nenapu,South Indian,3.2,500.0,69
Le Arabia,"North Indian, Mughlai",4.4,800.0,1026
Onesta,"Pizza, Cafe, Italian",4.3,600.0,397
Chichaba's Taj,"Biryani, North Indian, Mughlai",4.1,600.0,245
Papanna's Biriyani,"Biryani, South Indian",3.9,350.0,175
Donne Biriyani Mane,Biryani,3.8,300.0,180
Nisarga,"Andhra, North Indian, Chinese",3.6,500.0,110
Shanthi Sagar,"South Indian, North Indian, Chinese, Street Food, Beverages",3.8,400.0,74
South Spicy Bites,"North Indian, Chinese",3.7,500.0,68
Sloshed,"Arabian, Chinese, Continental, North Indian, Finger Food",3.9,1200.0,96
Cave N Dine,"North Indian, Chinese, Seafood",3.1,800.0,405
Namana Restaurant,"North Indian, Chinese, Mangalorean",3.7,300.0,30
Samruddhi - The Perfect Dine,"South Indian, North Indian, Arabian, Continental",0.0,600.0,0
Chopstick World,"Chinese, North Indian",4.0,750.0,178
New Prashanth Hotel,"South Indian, Biryani, Chinese, North Indian",3.2,750.0,123
Cafe Mamma Mia,"Continental, Italian, Cafe, Beverages, Desserts",3.7,600.0,239
Slanz Cafe,"Cafe, Italian, Desserts",3.6,500.0,99
Chowmein,"Chinese, North Indian, Momos, Biryani",3.8,800.0,285
Zaayeqa Multi Cuisine Restaurant,"Mughlai, North Indian, Chinese",3.3,0.0,59
Kanti Sweets,"Mithai, Street Food",3.7,400.0,18
Cafe Coffee Day,"Cafe, Fast Food",2.9,900.0,37
Planet I Bar,"Continental, Chinese, North Indian, Finger Food",3.6,1200.0,23
Kadai,"North Indian, Chinese, Seafood, South Indian",3.6,450.0,74
Thindi Palace,"North Indian, South Indian, Chinese",3.1,600.0,61
Hotel Sai Grand,"South Indian, North Indian, Chinese",0.0,650.0,0
Bansuri Sweets,"Mithai, North Indian, Street Food",3.5,250.0,49
KFC,"Burger, Fast Food",3.8,400.0,373
Priyadarshini Grand,"South Indian, North Indian, Chinese, Street Food",4.0,400.0,407
Sri Maruthi Hotel,South Indian,3.9,300.0,66
Basaveshwarnagar Dosa Corner,South Indian,3.8,200.0,75
McDonald's,"Burger, Fast Food",2.9,500.0,136
Davanagere Butter Dosa Hotel,South Indian,3.7,150.0,43
Ayodhya Sagara,"Chinese, North Indian, South Indian",3.8,200.0,65
Kentaky Fast Food,"North Indian, Chinese, Seafood",3.2,350.0,46
Shree Guru Sagar,"Chinese, North Indian, South Indian",3.5,500.0,40
Kolkata Famous Kati Roll,Fast Food,0.0,150.0,0
Nammura Upachara,"Chinese, North Indian, South Indian",3.6,300.0,42
Bangarpet Chats,Street Food,3.5,100.0,7
Srinidhi Donne Biryani,Biryani,3.2,300.0,11
'Brahmins' Thatte Idli,South Indian,0.0,100.0,0
MouthFull Of Cake,Desserts,3.9,600.0,57
Sapthagiri Non Veg,Fast Food,0.0,300.0,0
Biryani Treat,Biryani,0.0,300.0,0
Krazy Adda,"Fast Food, Beverages",0.0,200.0,0
Halli Donne Biryani Nati Style,Biryani,3.4,400.0,77
Hotel Sri Ayodhya,South Indian,0.0,200.0,0
Chikpet Donne Biriyani Corner,"Biryani, Kebab",3.2,400.0,7
S.L.V. Chats Corner,"Street Food, Beverages",0.0,150.0,0
Indian Chicken Biryani Point,Biryani,0.0,250.0,0
A-one Dum Biryani,Biryani,0.0,250.0,0
Venkat Naidu Restaurant,"Biryani, Kebab, South Indian",0.0,200.0,0
SnacksGuru,Fast Food,0.0,250.0,0
RR Dum Biryani,"Biryani, Kebab",0.0,300.0,0
Annapurna Veg,"South Indian, North Indian, Chinese",0.0,200.0,0
Tango Sandwich King,"Fast Food, Sandwich",3.5,200.0,9
Tango,Fast Food,3.8,200.0,51
Chandus Hotel,South Indian,3.0,200.0,12
Banashankari Biryani Mane,"Biryani, Fast Food",0.0,400.0,0
Karnataka Biryani Point,Biryani,3.3,200.0,4
Sri Durga Bhavani Biryani Point,Biryani,0.0,250.0,0
Kushi Juice Point,"Fast Food, Beverages",0.0,150.0,0
Bindu Sri Nati Style Hotel,South Indian,0.0,300.0,0
Shri Sai By 2 Coffee,"South Indian, Chinese",0.0,200.0,0
A1 Ambur Dum Biryani And Parota Centre,Biryani,3.2,300.0,4
Hamsa Sagar,"South Indian, Chinese",3.2,150.0,4
Food Zone,"North Indian, Chinese",3.7,400.0,162
High Ultra Lounge,"Japanese, Thai, Chinese, Korean",4.1,2600.0,4781
Punjab Grill,"North Indian, Mughlai",4.9,2000.0,1985
District 6 Pub Brewery & Kitchen,"German, European, Pizza, American, North Indian, Chinese",4.3,1800.0,2324
Feast - Sheraton Grand Bangalore Hotel at Brigade...,"North Indian, Continental",4.3,2000.0,968
"Lush - Renaissance Hotel, Bengaluru","North Indian, Continental",4.5,1200.0,420
Barbecue by Punjab Grill,BBQ,4.8,1300.0,1367
The Persian Terrace - Sheraton Grand Bangalore Hotel...,"Lebanese, Mediterranean, Afghan",4.2,2500.0,566
Mainland China,Chinese,4.5,1700.0,1157
Chili's American Grill & Bar,"American, Tex-Mex, Burger, BBQ, Mexican",4.8,1400.0,6470
Rajdhani Thali Restaurant,North Indian,4.0,1000.0,610
The Asian Curry House,"Vietnamese, Thai, Burmese, Japanese",4.5,1000.0,789
Toscano,"Italian, Salad, Mediterranean",4.3,1500.0,1103
1522 - The Pub,"Chinese, Continental, North Indian",4.2,1400.0,1734
Hyderabad Biryani House,"Biryani, Hyderabadi, Chinese",4.1,800.0,218
CTR,South Indian,4.8,150.0,4421
The Studio Bar,"Italian, American, North Indian",4.0,1400.0,777
"R Bar - Renaissance Hotel, Bengaluru",Continental,4.2,1400.0,167
Hatch,"North Indian, Mangalorean, Seafood",4.2,1200.0,471
Nando's,"Portuguese, Wraps, Burger, Salad",4.1,1200.0,317
Clean Slate Cafe,"Cafe, Continental, Italian",4.1,600.0,274
Stevie's,Cafe,4.1,500.0,80
Indian Kitchen,"North Indian, Mughlai",4.2,1500.0,493
The Green Path - Forgotten Food,"North Indian, South Indian",4.3,1100.0,1145
The Beer Cafe,"Finger Food, North Indian, Italian",4.1,1500.0,742
BluO,"Continental, North Indian",4.1,1500.0,405
Halli Mane,"South Indian, North Indian, Chinese",4.0,250.0,1196
3G's - Gulp & Groove,"Finger Food, Continental, Chinese",4.1,1100.0,664
Punjab Mail,"North Indian, Chinese, Beverages",3.8,650.0,324
Village - The Soul of India,"North Indian, South Indian",4.0,1000.0,569
Smoor,"Desserts, Cafe, Continental",4.2,700.0,290
Mumbai Bistro,"Cafe, North Indian, Street Food",4.2,500.0,506
Holige Mane,South Indian,4.2,100.0,128
The World Cafe,Cafe,3.8,600.0,32
Hydrabad Biryani House,"Biryani, North Indian",3.6,400.0,10
Hotel Moonlight,"Chinese, North Indian",3.9,500.0,117
Chung's Chinese Corner,"Chinese, Asian, American, Seafood",4.1,600.0,444
RS Shiv Sagar,"Chinese, North Indian, South Indian, Street Food, Fast Food",4.2,500.0,613
Mavalli Tiffin Room (MTR),"South Indian, Beverages",4.3,300.0,356
White Horse,"Finger Food, Chinese, North Indian",3.7,1100.0,96
South Ruchis,"North Indian, South Indian, Chinese",3.9,850.0,358
Bene - Sheraton Grand Bangalore Hotel at Brigade...,"Italian, European, Mediterranean",4.2,2500.0,246
Bhairaveshwara Military Hotel,"South Indian, Hyderabadi",4.2,250.0,144
Park View Restaurant,"North Indian, Chinese, Continental",3.8,600.0,128
Cafe Noir,"European, French, Salad",4.1,1500.0,1189
Iyer Mess,South Indian,4.1,150.0,327
Vayam Veg Fine Dine,"North Indian, South Indian, Chinese, Mexican",3.8,700.0,36
Sanman,"North Indian, South Indian, Fast Food, Chinese",4.0,700.0,151
Sindh Kitchen,"North Indian, Sindhi, Seafood",4.2,1100.0,167
Temple Meals,South Indian,3.8,200.0,76
Chandus Delux,"South Indian, North Indian, Seafood, Chinese",3.9,600.0,81
Savi Sagar,"North Indian, South Indian, Chinese, Street Food, Beverages",3.8,450.0,136
Shuchi Ruchi,"Chinese, North Indian, Street Food",4.0,350.0,344
New Samrat Restaurant,"North Indian, South Indian, Chinese",4.1,450.0,62
New Krishna Bhavan,"South Indian, North Indian, Chinese",4.2,200.0,600
Hotel Janatha,South Indian,4.1,150.0,750
New Fishland,"Seafood, Chinese, North Indian, South Indian",3.9,400.0,40
Bademiyan Kebabs,"Kebab, Hyderabadi, Biryani, Charcoal Chicken",3.8,600.0,86
Sagar,North Indian,4.0,600.0,152
Chikkanna Tiffin Room,South Indian,4.3,200.0,85
The Fast Food,"South Indian, Fast Food",3.9,150.0,66
Sai Shakti,North Indian,4.0,250.0,212
Amrut,"North Indian, Chinese, Fast Food",3.5,300.0,250
Viking,"Chinese, North Indian",2.9,450.0,86
Hari Super Sandwich,"Fast Food, Street Food",3.9,200.0,61
Karavali Lunch Home,"South Indian, Seafood",4.0,300.0,173
California Burrito,"Mexican, Fast Food",4.2,400.0,124
Singh Saab Dhaba,"Fast Food, North Indian",3.8,400.0,21
Namma Kudla,"South Indian, Mangalorean",4.2,350.0,62
Hotel Karavali Food Point,"Mangalorean, South Indian, North Indian",3.8,400.0,220
Jigarthanda,"Beverages, Rolls",3.5,300.0,17
Garden City Mobile Biryani,Biryani,0.0,200.0,0
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,Continental,3.7,2000.0,77
LV Venkateshwara Jolada Rotti Oota,South Indian,3.9,300.0,35
Antarastriya,"Chinese, Fast Food, Momos",3.9,200.0,462
Sagar Restaurant & Chats,"South Indian, North Indian, Chinese",3.6,500.0,7
Jay Bhavani,"North Indian, Street Food, Pizza",3.6,400.0,41
Oyalo,Pizza,3.2,300.0,9
Olive Tree,"North Indian, South Indian, Chinese",3.8,700.0,59
Ali Snacks Point,"Chinese, Momos",3.4,150.0,5
Savji's Roll 'N' Biryani,"North Indian, Chinese, Biryani, Rolls",3.9,250.0,441
Hotel Prakruthi,South Indian,3.8,350.0,93
WOW! Momo,"Tibetan, Momos",3.9,400.0,284
Kailash Parbat,"North Indian, Street Food",3.1,600.0,116
Hotel Karavali Beach,"Seafood, Mangalorean, Chinese",3.5,500.0,19
West Wood,"North Indian, Chinese, Continental",3.7,1000.0,113
Tata Cha,"Cafe, Tea, North Indian",3.2,500.0,9
Sri Sai Ram's,Street Food,4.2,200.0,62
Holige Mane,South Indian,4.1,100.0,56
HighTeaParty Cafe,"Cafe, Continental, Steak, Italian",3.9,500.0,72
TLP Cafe,"Cafe, Italian",3.9,400.0,252
Mehfil Family Restaurant,North Indian,3.0,750.0,81
Chetty's Corner,"Fast Food, Pizza, Sandwich",4.0,250.0,52
Swathi Restaurant,"Chinese, North Indian, South Indian",3.8,600.0,34
Sagar,"South Indian, North Indian, Chinese",3.6,500.0,101
Pizza Stop,"Pizza, Italian",2.9,600.0,57
Flodeis,"Desserts, Ice Cream, Beverages",3.4,300.0,10
Rajanna Military Hotel,Biryani,3.7,300.0,49
Chaatimes,"Street Food, Fast Food",3.9,200.0,115
The Golden Metro,"North Indian, Mughlai, Chinese, Continental",3.6,800.0,70
Malleshwaram Holige Mane,South Indian,3.5,200.0,7
Veg By Nature,North Indian,2.9,300.0,57
Sukh Sagar Express,"North Indian, Chinese, Fast Food, Street Food",3.7,500.0,89
Quickie's,"Fast Food, Rolls",3.9,200.0,87
Donne Biryani House,"Andhra, Biryani",3.8,300.0,59
Vijayalakshmi Veg,South Indian,0.0,200.0,0
Tasty Paradise,"North Indian, Mughlai, Chinese, Beverages",3.7,550.0,98
Swadh Biryani Tandoori Spot,"Biryani, Fast Food",0.0,200.0,0
Srushti Coffee,South Indian,3.4,300.0,9
Udupi Upachar,"South Indian, North Indian, Chinese",3.3,250.0,6
Grits Cafe,"Fast Food, Bakery",3.6,300.0,15
Ambur Biryani Zone,"Biryani, Kebab",0.0,150.0,0
Upsouth,South Indian,4.2,300.0,470
Chillies Restaurant,"North Indian, South Indian, Chinese",3.7,500.0,24
Falafel's - The Lebanese Haus,Lebanese,3.9,300.0,47
Cinnamon,"North Indian, Asian, Continental",3.7,1000.0,28
Dhadoom,"North Indian, Street Food, Pizza, Burger, Sandwich",4.0,300.0,58
Coastal Express,"North Indian, Chinese, Biryani, Seafood, Fast Food, Beverages",3.4,500.0,37
Neethus Kitchen & Restaurant,"North Indian, Chinese, South Indian",2.9,400.0,11
The Orchid,"North Indian, Continental",3.7,1400.0,55
Hotel Karavali,"South Indian, Chinese",3.6,400.0,14
Udupi Ruchi,South Indian,0.0,100.0,0
Gowdara Hatti,South Indian,3.7,300.0,30
Hot Coffee,South Indian,3.9,100.0,46
RR Biriyani,Biryani,3.7,300.0,21
Sultan's Restaurant,"Hyderabadi, Biryani",3.2,200.0,37
Amantrana,"North Indian, South Indian",3.2,800.0,15
Uttarkhand,"Chinese, North Indian, Continental",3.0,700.0,21
Samudra Bar & Restaurant,"North Indian, Mughlai, Chinese",2.9,800.0,35
Art Cafe,Cafe,3.5,1000.0,7
Amazing Blue Pub,Finger Food,3.4,900.0,10
New Udupi Grand Hotel,"South Indian, North Indian, Chinese",3.2,250.0,5
Blue Nile Coffee Shop,Cafe,0.0,600.0,0
F.M Biryani Paradise,Biryani,0.0,300.0,0
Grub by 3G's,"Continental, North Indian",3.3,1500.0,4
Sri Sai Dosa Center,South Indian,0.0,100.0,0
Polar Bear,"Desserts, Ice Cream, Beverages, Sandwich",4.1,400.0,166
Akshatha Nati Style,"South Indian, Chinese, North Indian",3.7,500.0,20
Matsya Lunch Home,Mangalorean,3.8,400.0,13
The Rasoi,"North Indian, Chinese, Hyderabadi",3.7,650.0,33
Kaffee Klatsch,Cafe,0.0,300.0,0
Hotel Annapurneshwari,Andhra,0.0,200.0,0
Utsava Grand,"South Indian, North Indian, Chinese",3.6,300.0,14
Nebula,"North Indian, Chinese, Thai, Italian, South Indian",3.3,700.0,6
Lakshmi Mess,South Indian,3.3,200.0,13
Mumbai Spice,"North Indian, Chinese",3.7,400.0,100
The Biryani Culture,North Indian,3.2,500.0,9
Sizzling China,Chinese,2.9,300.0,23
Cafe Bengaluru,"Fast Food, Beverages",3.3,300.0,47
Yumjar,"Fast Food, Beverages, Desserts",0.0,300.0,0
Wood Rose,"North Indian, Chinese, Continental",3.3,1000.0,8
Srushti Veg,"North Indian, South Indian, Chinese",3.3,600.0,6
Swathi Delux,"North Indian, Chinese, Andhra",3.2,450.0,11
Glacier - Citrine Hotel,"Finger Food, North Indian, Chinese",3.6,1000.0,27
Subway,"Healthy Food, Salad, Fast Food",2.4,500.0,71
Crazy Pizza,"Pizza, Fast Food",3.4,400.0,5
Sai Cafe Veg,Fast Food,3.5,250.0,11
Hotel New Grand,"North Indian, South Indian, Chinese",0.0,350.0,0
Comesum Food Plaza,"South Indian, Chinese",0.0,300.0,0
New Kabadi Military Hotel,"South Indian, Biryani",0.0,350.0,0
Sri Balaji Juice And Chats,"Fast Food, Beverages",0.0,400.0,0
Hare Krishna,"North Indian, South Indian, Chinese",2.9,300.0,16
Food Square,"Chinese, Street Food, Rolls",3.2,250.0,4
Al Taj Fast Food,"Fast Food, North Indian, South Indian, Chinese",3.2,600.0,4
Al Sadique,"North Indian, Mughlai, Chinese, Rolls",3.9,450.0,185
Currylicious,"South Indian, Mangalorean, Kerala",3.1,800.0,49
Ganesh Food Joint,"South Indian, North Indian, Chinese",3.6,200.0,101
Kaati Zone,"Fast Food, Biryani, Rolls",2.8,350.0,26
Aahara Vihar,"South Indian, North Indian, Chinese",3.5,300.0,13
Marhaba,"North Indian, Lebanese, Rolls",2.7,550.0,72
Cauvery Punjabi Khana,"North Indian, South Indian",3.4,300.0,11
Pavana Veg Restaurant,"North Indian, South Indian, Chinese, Street Food",3.1,300.0,12
Sipp N Cool,Fast Food,0.0,200.0,0
Punjabi Tasty Khana,"North Indian, Chinese, Biryani",0.0,450.0,0
Hare Krishna Kuteera,South Indian,0.0,200.0,0
Sambhram,"South Indian, Biryani",0.0,250.0,0
Amma's Thindi,South Indian,0.0,250.0,0
Sri Prasanna Military Hotel,South Indian,0.0,250.0,0
Nandikeshwara Tiffin Centre,South Indian,0.0,100.0,0
Taste Of Banaras,North Indian,0.0,200.0,0
Parinitha Biryani Corner,"Biryani, Kebab",3.3,300.0,5
Ajantha Hotel,"North Indian, South Indian",0.0,250.0,0
Lucky Bites,"Fast Food, Chinese",3.4,0.0,7
Bhanu Hindi Military Hotel,South Indian,3.4,300.0,7
Indian Chicken Biryani Point,Biryani,3.1,250.0,6
Sri Venkateshwar Bhavan,"South Indian, Chinese, Seafood",3.5,200.0,7
Hotel Vaishali,South Indian,3.6,150.0,20
Kamat Delicacy,"South Indian, North Indian, Chinese",0.0,300.0,0
Dosa Cafe,South Indian,3.4,80.0,7
Hotel Shri Raghavendra,"South Indian, North Indian",3.0,150.0,6
Donne Biriyani Mane,"Biryani, Chinese, North Indian",2.8,300.0,28
G. P. S. Kaapi Thindi,Street Food,3.5,150.0,14
Hotel Sri Gurupriya,South Indian,0.0,200.0,0
Pure & Natural,"Healthy Food, Beverages, Fast Food",2.6,500.0,30
U K Saviruchi Food Store,"South Indian, North Indian",0.0,150.0,0
Happiest Moment,"North Indian, Chinese, Biryani",0.0,350.0,0
Karnataka Briyani point,"North Indian, Chinese",3.2,300.0,5
Mayur Veg Restaurant,"South Indian, Chinese, North Indian, Juices",0.0,250.0,0
Jameela Hotel,Biryani,3.3,200.0,9
Bharath's Pizza,"Pizza, Fast Food",0.0,250.0,0
Cauvery Veg Restaurant,North Indian,0.0,300.0,0
Ma~Ga~Di,"North Indian, South Indian, Chinese",3.3,800.0,12
Grill Biryanis,"Biryani, North Indian",3.1,500.0,8
Empire Juice Shop,Juices,2.7,150.0,43
Four Seasons Fast Food,"North Indian, Chinese, Biryani",3.3,400.0,20
New Savi Sagar,"South Indian, North Indian, Chinese, Street Food",3.3,200.0,4
Maiyas,"South Indian, North Indian, Chinese, Bakery, Desserts",3.9,300.0,291
Khan Saheb Grills and Rolls,"Fast Food, Rolls",2.7,400.0,24
StikSnax,Fast Food,2.7,300.0,21
Naati Manae,"North Indian, South Indian, Chinese, Biryani",2.7,700.0,25
Sangeetha Bar & Restaurant,"North Indian, South Indian",3.4,800.0,11
A1 Biriyani Point,Biryani,3.0,200.0,10
Sbarro,Pizza,2.8,500.0,270
Sloshed,"Arabian, Chinese, Continental, North Indian, Finger Food",3.9,1200.0,96
Jetlag,"Finger Food, Continental, North Indian, Italian, Japanese",4.3,1650.0,1103
Chord Road Resto-Bar,"North Indian, South Indian, Chinese",3.2,1000.0,97
Planet I Bar,"Continental, Chinese, North Indian, Finger Food",3.6,1200.0,23
High Ultra Lounge,"Japanese, Thai, Chinese, Korean",4.1,2600.0,4781
District 6 Pub Brewery & Kitchen,"German, European, Pizza, American, North Indian, Chinese",4.3,1800.0,2324
1522 - The Pub,"Chinese, Continental, North Indian",4.2,1400.0,1734
The Studio Bar,"Italian, American, North Indian",4.0,1400.0,777
Hatch,"North Indian, Mangalorean, Seafood",4.2,1200.0,471
The Beer Cafe,"Finger Food, North Indian, Italian",4.1,1500.0,742
BluO,"Continental, North Indian",4.1,1500.0,405
3G's - Gulp & Groove,"Finger Food, Continental, Chinese",4.1,1100.0,664
White Horse,"Finger Food, Chinese, North Indian",3.7,1100.0,96
Swathi Greenland,"Andhra, North Indian, Chinese",3.7,800.0,174
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,Continental,3.7,2000.0,77
Samudra Bar & Restaurant,"North Indian, Mughlai, Chinese",2.9,800.0,35
Amazing Blue Pub,Finger Food,3.4,900.0,10
Wood Rose,"North Indian, Chinese, Continental",3.3,1000.0,8
Glacier - Citrine Hotel,"Finger Food, North Indian, Chinese",3.6,1000.0,27
Sangeetha Bar & Restaurant,"North Indian, South Indian",3.4,800.0,11
Sloshed,"Arabian, Chinese, Continental, North Indian, Finger Food",3.9,1200.0,96
Jetlag,"Finger Food, Continental, North Indian, Italian, Japanese",4.3,1650.0,1103
Stories,"Continental, North Indian, Chinese",4.6,1100.0,2423
Kava - Fairfield by Marriott,"North Indian, South Indian, Continental",4.0,1800.0,617
Nandhana Palace,"Andhra, Biryani, North Indian, Chinese",4.0,800.0,930
Mayura 1989,"Andhra, Continental, Chinese",3.7,900.0,103
Kava Bar - Fairfield By Marriott,"North Indian, South Indian, Continental",3.4,1800.0,10
Westin - Vyasa Paradise,"North Indian, South Indian, Chinese",3.4,800.0,8
White Smoke Barbeque- Fairfield by Marriott,"Mediterranean, BBQ",4.0,1200.0,84
Cave N Dine,"North Indian, Chinese, Seafood",3.1,800.0,405
Planet I Bar,"Continental, Chinese, North Indian, Finger Food",3.6,1200.0,23
Chili's American Grill & Bar,"American, Tex-Mex, Burger, BBQ, Mexican",4.8,1400.0,6470
1522 - The Pub,"Chinese, Continental, North Indian",4.2,1400.0,1734
"R Bar - Renaissance Hotel, Bengaluru",Continental,4.2,1400.0,167
Hatch,"North Indian, Mangalorean, Seafood",4.2,1200.0,471
The Beer Cafe,"Finger Food, North Indian, Italian",4.1,1500.0,742
3G's - Gulp & Groove,"Finger Food, Continental, Chinese",4.1,1100.0,664
White Horse,"Finger Food, Chinese, North Indian",3.7,1100.0,96
Swathi Greenland,"Andhra, North Indian, Chinese",3.7,800.0,174
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,Continental,3.7,2000.0,77
Samudra Bar & Restaurant,"North Indian, Mughlai, Chinese",2.9,800.0,35
Amazing Blue Pub,Finger Food,3.4,900.0,10
Glacier - Citrine Hotel,"Finger Food, North Indian, Chinese",3.6,1000.0,27
Sangeetha Bar & Restaurant,"North Indian, South Indian",3.4,800.0,11
Parika Multicuisine Restaurant,"North Indian, Chinese, Mughlai",3.8,1200.0,203
Chutney Chang,"North Indian, Chinese, BBQ",4.2,1500.0,4752
Konark Vegetarian Restaurant,"North Indian, Chinese, Continental, South Indian, Street Food, Juices",4.1,500.0,1015
The Market - The Ritz-Carlton,"North Indian, European, Thai",4.3,3400.0,620
Ithaca - The Chancery Pavilion,"North Indian, Italian, European, Continental",3.9,2000.0,312
Northern Gate- Gateway Hotel,North Indian,4.0,1900.0,103
Olive Bar And Kitchen,"Mediterranean, European, Salad",4.5,1800.0,2219
Ebony,"North Indian, South Indian",4.3,1500.0,3152
JW Kitchen - JW Marriott Bengaluru,"North Indian, Continental, Italian",4.4,2200.0,2143
The Tao Terraces,"Thai, Japanese, Korean, Burmese, Chinese",3.9,2100.0,1943
Rim Naam - The Oberoi,Thai,4.6,3000.0,988
Oh! Calcutta,"Bengali, Seafood",4.5,1200.0,1142
Mainland China,Chinese,4.5,1700.0,1431
Rasovara,"Rajasthani, North Indian",4.3,1400.0,772
Cubbon Pavilion - ITC Gardenia,"European, Continental, Chinese, Thai",4.3,2500.0,689
Empire Restaurant,"North Indian, Mughlai, South Indian, Chinese",4.0,750.0,3286
Le Jardin - The Oberoi,"European, Mediterranean, North Indian",4.3,3000.0,698
BBQ@52,"BBQ, Biryani, Continental",3.9,1500.0,54
The Spice Bazaar,"North Indian, Mughlai",4.2,1000.0,341
BBQ'D - Global Grill & Brewery,"BBQ, North Indian",4.3,1500.0,469
Kitchen On Table,"Japanese, Sushi, Asian",4.0,1500.0,57
WelcomCafe Jacaranda - WelcomHotel Bengaluru,"Asian, Continental, North Indian",4.0,2000.0,53
Season - Adarsh Hamilton,"North Indian, Chinese, South Indian, Continental",4.3,1200.0,331
Panchavati Gaurav Thali,"Rajasthani, Gujarati",4.0,800.0,930
Red Onion,"Chinese, North Indian, Biryani, Kebab",4.2,1200.0,570
Puran da Dhaba - The Pride Hotel,North Indian,4.0,1700.0,167
Cafe Mangii,"Italian, Continental, Pizza",4.3,1600.0,1055
